CAMIS,DBA,BORO,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE,
50006470,DYLAN'S CANDY BAR,Queens,"JFK JFK AIRPORT, 11430",Other,5/31/18,10H,Proper sanitization not provided for utensil ware washing operation.,N,12,A,5/31/18,Cycle Inspection / Initial Inspection,
41702724,MOMINETTE,Brooklyn,"221 KNICKERBOCKER AVENUE, 11237",French,12/10/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,17,B,,Cycle Inspection / Initial Inspection,
41165361,BLT STEAK,Manhattan,"106 EAST 57 STREET, 10022",Steak,9/26/18,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,A,9/26/18,Cycle Inspection / Initial Inspection,
50002701,JENNY COFFEE SHOP #2,Brooklyn,"233 KINGSTON AVE, 11213",Spanish,2/12/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,22,B,,Cycle Inspection / Initial Inspection,
41031150,FIRST OASIS,Brooklyn,"9218 4 AVENUE, 11209",Mediterranean,4/19/16,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,26,B,,Cycle Inspection / Initial Inspection,
41068451,GRAND OASIS RESTAURANT,Queens,"1611 CENTRAL AVENUE, 11691","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/7/17,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,8,A,7/7/17,Cycle Inspection / Initial Inspection,
41563704,FDR 99¢ SLICE PIZZA,Manhattan,"150 EAST 2ND  STREET, 10009",Pizza,6/8/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,6/8/17,Cycle Inspection / Initial Inspection,
50034756,THE LATE LATE,Manhattan,"159 E HOUSTON ST, 10002",American,9/26/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,9/26/18,Cycle Inspection / Re-inspection,
40395023,JING FONG RESTAURANT,Manhattan,"20 ELIZABETH STREET, 10013",Chinese,8/12/19,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,58,C,,Cycle Inspection / Initial Inspection,
50072755,Vivi Bubble Cafe,Manhattan,"1324 2ND AVE, 10021",Café/Coffee/Tea,3/12/19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,3/12/19,Cycle Inspection / Initial Inspection,
50060720,SAKURA 4,Queens,"6419 MYRTLE AVE, 11385",Japanese,10/16/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,17,B,,Cycle Inspection / Initial Inspection,
50076761,PEPPER LUNCH,Manhattan,"243 W 54TH ST, 10019",Steak,1/14/20,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,1/14/20,Cycle Inspection / Initial Inspection,
41559365,DORO'S JAMAICAN RESTAURANT,Bronx,"270 EAST  165 STREET, 10456",Caribbean,3/20/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,3/20/18,Cycle Inspection / Initial Inspection,
40513609,SKYLIGHT DINER,Manhattan,"402 WEST   34 STREET, 10001",American,10/4/19,02B,Hot food item not held at or above 140º F.,Y,25,B,,Cycle Inspection / Initial Inspection,
50016964,BONCHON,Manhattan,"325 5TH AVE, 10016",Korean,12/8/17,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,12/8/17,Cycle Inspection / Initial Inspection,
40572049,EL DORADO SPORTS LOUNGE,Queens,"108-15 LIBERTY AVENUE, 11419",Caribbean,1/16/20,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",N,11,A,1/16/20,Cycle Inspection / Initial Inspection,
41275015,VAN'KA VSTAN'KA,Brooklyn,"3810 NOSTRAND AVENUE, 11235",Russian,10/8/16,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,12,A,,Cycle Inspection / Initial Inspection,
50044658,NOODLEFAN,Staten Island,"1809 VICTORY BLVD, 10314",Thai,2/23/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,44,C,2/23/17,Cycle Inspection / Re-inspection,
41447273,KENNEDY PIZZA & CHICKEN,Brooklyn,"294 NOSTRAND AVENUE, 11216",Chicken,12/9/15,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,12/9/15,Cycle Inspection / Initial Inspection,
50058733,CHAYKHANA 1,Brooklyn,"2158 BATH AVE, 11214",Eastern European,12/12/18,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,23,B,12/12/18,Cycle Inspection / Re-inspection,
50077905,LAKOU,Brooklyn,"195 UTICA AVE, 11213",Café/Coffee/Tea,5/9/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,7,A,5/9/19,Cycle Inspection / Initial Inspection,
50059906,CAFE ESENCIA,Queens,"6838 FOREST AVE, 11385",American,12/30/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,A,12/30/19,Cycle Inspection / Initial Inspection,
41650760,TROPICAL COFFEE SHOP,Brooklyn,"584 ROCKAWAY AVENUE, 11212","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/20/17,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12,A,3/20/17,Cycle Inspection / Re-inspection,
41708524,REICHENBACH HALL,Manhattan,"5 WEST   37 STREET, 10018",German,12/10/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,30,C,,Cycle Inspection / Initial Inspection,
50063529,GONG CHA,Manhattan,"72 BAYARD ST, 10013",Café/Coffee/Tea,11/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,A,11/13/17,Cycle Inspection / Initial Inspection,
50046503,HALFTIME GRILL,Brooklyn,"2112 FLATBUSH AVE, 11234",Jewish/Kosher,11/1/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,20,B,11/1/18,Cycle Inspection / Re-inspection,
50058724,SPICE SYMPHONY,Manhattan,"150 E 50TH ST, 10022",Indian,7/26/19,09A,Canned food product observed dented and not segregated from other consumable food items.,N,9,A,7/26/19,Cycle Inspection / Re-inspection,
50009906,CLAUDETTE,Manhattan,"24 5TH AVE, 10011",French,12/20/17,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,9,A,,Cycle Inspection / Initial Inspection,
50011926,BLACK IRON BURGER,Manhattan,"245 W 38TH ST, 10018",Hamburgers,4/9/18,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,8,A,4/9/18,Cycle Inspection / Initial Inspection,
41567865,EMPELLON,Manhattan,"230 WEST    4 STREET, 10014",Mexican,11/14/19,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,11,A,11/14/19,Cycle Inspection / Re-inspection,
40864264,THE VILLAGE TAVERN,Manhattan,"46 BEDFORD STREET, 10014",American,9/17/19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,9/17/19,Cycle Inspection / Re-inspection,
40958032,SUBWAY,Manhattan,"250 EAST HOUSTON STREET, 10002",Sandwiches,10/6/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,6,A,10/6/17,Cycle Inspection / Initial Inspection,
50055243,THAI VILLA,Manhattan,"5 E 19TH ST, 10003",Thai,4/5/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,21,B,,Cycle Inspection / Initial Inspection,
41242148,GABBY O'HARA'S,Manhattan,"123 WEST   39 STREET, 10018",Irish,7/9/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,B,,Cycle Inspection / Initial Inspection,
41574514,NANATORI JAPANESE RESTAURANT,Brooklyn,"162 MONTAGUE STREET, 11201",Japanese,2/8/18,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Y,29,C,,Cycle Inspection / Initial Inspection,
50080868,HOMETOWN RESTAURANT,Brooklyn,"7218 18TH AVE, 11204",Chinese,11/4/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,11/4/19,Cycle Inspection / Re-inspection,
50086706,HENRY,Brooklyn,"433 7TH AVE, 11215",Vietnamese/Cambodian/Malaysia,1/22/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,A,1/22/19,Pre-permit (Operational) / Re-inspection,
50040249,CEVICHERIA EL REY,Queens,"8516A ROOSEVELT AVE, 11372",Spanish,7/5/19,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,25,B,,Cycle Inspection / Initial Inspection,
50041687,CHINA KING,Queens,"17545 HILLSIDE AVE, 11432",Chinese,9/10/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,P,9/10/18,Cycle Inspection / Reopening Inspection,
50045140,AUNTIE GUAN'S KITCHEN 108,Manhattan,"108 W 14TH ST, 10011",Chinese,7/25/19,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,A,7/25/19,Cycle Inspection / Re-inspection,
50071246,BANANA BOAT RESTAURANT,Brooklyn,"1138 FLATBUSH AVE, 11226",Caribbean,12/19/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,12/19/17,Pre-permit (Operational) / Re-inspection,
50049744,RESTAURANT ANTOJITOS,Queens,"9004 JAMAICA AVE, 11421",Spanish,4/21/18,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,12,A,4/21/18,Cycle Inspection / Re-inspection,
40949521,CAFE CENTRO,Manhattan,"200 PARK AVENUE, 10017",French,12/14/16,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,13,A,,Cycle Inspection / Initial Inspection,
41672416,SARKU JAPAN,Queens,"3721 JUNCTION BOULEVARD, 11368",Asian,9/17/18,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,40,C,,Cycle Inspection / Re-inspection,
50056770,ESSEN,Manhattan,"519 8TH AVE, 10018",American,8/20/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,8/20/18,Cycle Inspection / Initial Inspection,
50000810,Tower Diner,Queens,"98-95 QUEENS BLVD, 11374",American,5/1/17,02B,Hot food item not held at or above 140º F.,Y,22,B,,Cycle Inspection / Initial Inspection,
41304667,LOS 3 POTRILLOS,Brooklyn,"1004 4 AVENUE, 11232",Mexican,4/22/17,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,38,C,,Cycle Inspection / Initial Inspection,
50019123,BIG ARC CHICKEN,Manhattan,"233 1ST AVE, 10003",Middle Eastern,7/18/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,7/18/18,Cycle Inspection / Re-inspection,
41169143,NOMAD,Manhattan,"78 2 AVENUE, 10003",Moroccan,1/29/19,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,9,A,1/29/19,Cycle Inspection / Re-inspection,
50002579,LIQUITERIA,Manhattan,"267 WEST 15 STREET, 10011","Juice, Smoothies, Fruit Salads",9/24/19,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,9/24/19,Cycle Inspection / Re-inspection,
50053122,A1 JAMAICA BREEZE,Queens,"10302 ASTORIA BLVD, 11369",Caribbean,4/15/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,4/15/19,Cycle Inspection / Initial Inspection,
41385362,MCDONALD'S,Bronx,"2630 JEROME AVENUE, 10468",Hamburgers,11/2/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,38,C,,Cycle Inspection / Initial Inspection,
50057824,SERAFINA LUDLOW,Manhattan,"98 RIVINGTON ST, 10002",Other,3/27/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,20,P,3/27/17,Pre-permit (Operational) / Reopening Inspection,
50060232,HOLIDAY INN EXPRESS MANHATTAN TIMES SQUARE SOUTH,Manhattan,"60 W 36TH ST, 10018",American,5/7/18,02B,Hot food item not held at or above 140º F.,Y,9,A,5/7/18,Cycle Inspection / Initial Inspection,
50019166,MAITE,Brooklyn,"159 CENTRAL AVE, 11221",Spanish,6/19/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,6/19/19,Cycle Inspection / Initial Inspection,
50094598,DA ANDREA,Manhattan,"35 W 13TH ST, 10011",Italian,8/20/19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,8/20/19,Pre-permit (Operational) / Initial Inspection,
50070624,PARK SLOPE ALE HOUSE,Brooklyn,"356 6TH AVE, 11215",American,1/8/20,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,1/8/20,Cycle Inspection / Initial Inspection,
40368157,ELEPHANT & CASTLE,Manhattan,"68 GREENWICH AVENUE, 10011",American,12/3/18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,10,A,12/3/18,Cycle Inspection / Initial Inspection,
40954549,IMMACULEE BAKERY,Brooklyn,"1411 NOSTRAND AVENUE, 11226",Bakery,6/14/19,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,60,C,,Cycle Inspection / Re-inspection,
40370168,EAR INN,Manhattan,"326 SPRING STREET, 10013",American,6/17/19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,A,6/17/19,Cycle Inspection / Initial Inspection,
41712453,MERRYLAND BUFFET,Bronx,"2496 ELM PLACE, 10458",Chinese,2/14/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,31,C,,Cycle Inspection / Initial Inspection,
40560823,LENA RESTAURANT,Bronx,"206 EAST  198 STREET, 10458","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/5/18,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,A,2/5/18,Cycle Inspection / Re-inspection,
50059215,LA BELLA PIZZA,Queens,"4706 GREENPOINT AVE, 11104",Pizza,1/10/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,A,1/10/19,Cycle Inspection / Re-inspection,
41653879,LENOX SAPHIRE,Manhattan,"341 LENOX AVENUE, 10027",African,6/10/19,04A,Food Protection Certificate not held by supervisor of food operations.,Y,25,B,6/10/19,Cycle Inspection / Re-inspection,
50004560,ROSE BAKERY,Manhattan,"160 LEXINGTON AVE, 10016",French,9/29/17,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,A,9/29/17,Cycle Inspection / Initial Inspection,
41720707,EL GRAN CANARIO II RESTAURANT,Queens,"11117 JAMAICA AVENUE, 11418",Spanish,4/26/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,4/26/17,Cycle Inspection / Re-inspection,
50089169,SOCIAL CORNER,Queens,"24324 MERRICK BLVD, 11422",Caribbean,12/23/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,12/23/19,Pre-permit (Operational) / Initial Inspection,
50063097,SAL ANTHONY'S RESTAURANT,Manhattan,"226 3RD AVE, 10003",Italian,2/20/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,57,C,,Pre-permit (Operational) / Compliance Inspection,
50043941,CORK & KALE AT EVEN HOTEL,Manhattan,"321 W 35TH ST, 10001",American,4/7/17,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,A,4/7/17,Cycle Inspection / Initial Inspection,
50069017,SUBWAY,Manhattan,"32 W 39TH ST, 10018",Sandwiches,12/12/17,04M,Live roaches present in facility's food and/or non-food areas.,Y,26,B,,Pre-permit (Operational) / Initial Inspection,
50056245,MING KEE KITCHEN,Manhattan,"237 GRAND ST STORE B, 10002",Chinese,4/12/17,02B,Hot food item not held at or above 140º F.,Y,25,B,,Cycle Inspection / Initial Inspection,
50000473,JUAN BAR,Queens,"9615D ROOSEVELT AVE, 11368",Mexican,8/6/19,02B,Hot food item not held at or above 140º F.,Y,12,A,8/6/19,Cycle Inspection / Initial Inspection,
50093898,CARIDAD,Bronx,"1436 WILLIAMSBRIDGE RD, 10461","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/2/20,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,21,B,,Cycle Inspection / Initial Inspection,
41450417,DELTA SKY CLUB (BARTENDER SERVICE TERMINAL D DELTA DEPARTURE),Queens,"0 LA GUARDIA AIRPORT, 11369",American,9/14/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,A,9/14/17,Cycle Inspection / Re-inspection,
50042302,MR. RICE CHINESE RESTAURANT,Staten Island,"5 WALKER ST, 10302",Chinese,9/7/16,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,9/7/16,Cycle Inspection / Initial Inspection,
41571350,THE MET GRILL/DOUBLE TREE HOTEL,Manhattan,"569 LEXINGTON AVENUE, 10022",American,1/14/20,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,18,B,,Cycle Inspection / Initial Inspection,
40402756,THE UNIVERSITY CLUB,Manhattan,"1 WEST   54 STREET, 10019",American,6/22/17,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,6/22/17,Cycle Inspection / Initial Inspection,
50010699,ALBERT'S COFFEE SHOP,Bronx,"405 HUNTS POINT AVE, 10474",American,10/20/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,10,A,10/20/17,Cycle Inspection / Re-inspection,
50018008,PHO SAIGON,Manhattan,"987 1ST AVE, 10022",Vietnamese/Cambodian/Malaysia,7/16/18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,8,A,7/16/18,Cycle Inspection / Re-inspection,
50052545,MING GARDEN CHINESE,Queens,"7068 KISSENA BLVD, 11367",Chinese,10/23/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,,Cycle Inspection / Initial Inspection,
50071999,BEST WOK CHINESE FOOD,Queens,"13875 FRANCIS LEWIS BLVD, 11422",Chinese,3/11/19,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,61,C,,Cycle Inspection / Initial Inspection,
50002512,WING LING,Bronx,"159B EAST 170TH ST, 10452",Chinese,2/13/19,04M,Live roaches present in facility's food and/or non-food areas.,Y,84,C,,Cycle Inspection / Re-inspection,
50042815,ALI BABA,Queens,"18310 HORACE HARDING EXPY, 11365",Middle Eastern,1/11/19,04M,Live roaches present in facility's food and/or non-food areas.,Y,22,B,1/11/19,Cycle Inspection / Re-inspection,
40380517,BARNEY GREENGRASS,Manhattan,"541 AMSTERDAM AVENUE, 10024",Jewish/Kosher,8/16/17,04M,Live roaches present in facility's food and/or non-food areas.,Y,44,C,,Cycle Inspection / Initial Inspection,
41632272,BOCA JUNIORS STEAKHOUSE,Queens,"8108 QUEENS BOULEVARD, 11373",Steak,1/7/19,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,35,C,,Cycle Inspection / Initial Inspection,
50059684,ASHOKA,Manhattan,"489 COLUMBUS AVE, 10024",Indian,2/23/17,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,32,C,2/23/17,Pre-permit (Operational) / Re-inspection,
40547163,GLENLO TAVERN,Queens,"641618 FRESH POND ROAD, ",American,4/3/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,A,4/3/19,Cycle Inspection / Initial Inspection,
50001394,EL FOGON RESTAURANT,Queens,"1701 PALMETTO ST, 11385",Spanish,4/10/18,10H,Proper sanitization not provided for utensil ware washing operation.,N,12,A,4/10/18,Cycle Inspection / Initial Inspection,
50071808,BIG NOSE KATES,Staten Island,"2484 ARTHUR KILL RD, 10309",American,8/2/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,46,C,,Cycle Inspection / Re-inspection,
50056919,SLICE ASTORIA,Queens,"3708 30TH AVE, 11103",Pizza,11/19/19,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,19,B,11/19/19,Cycle Inspection / Re-inspection,
50012258,THE HALAL GUYS,Manhattan,"307 E 14TH ST, 10003",Mediterranean,4/10/19,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,7,A,,Cycle Inspection / Initial Inspection,
50050327,NOSTRAND CAFE,Brooklyn,"261 NOSTRAND AVE, 11216",Café/Coffee/Tea,4/25/19,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,35,C,,Cycle Inspection / Initial Inspection,
40373597,PETES PIZZERIA & RESTAURANT,Brooklyn,"7522 3 AVENUE, 11209",Pizza/Italian,3/1/17,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,16,B,,Cycle Inspection / Initial Inspection,
50057894,WHILE WE WERE YOUNG,Manhattan,"183 W 10TH ST, 10014",American,7/24/19,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,9,A,7/24/19,Cycle Inspection / Re-inspection,
50003346,BOMBAY SANDWICH CO,Manhattan,"48 W. 27TH STREET, 10001",Vegetarian,3/23/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,19,B,,Cycle Inspection / Initial Inspection,
50033801,BABBALUCCI'S,Manhattan,"331 LENOX AVE, 10027",Italian,5/31/18,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,18,B,,Cycle Inspection / Initial Inspection,
50017823,THE HALAL GUYS,Manhattan,"720 AMSTERDAM AVE, 10025",Middle Eastern,10/16/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,10/16/19,Cycle Inspection / Initial Inspection,
50065363,HEMO'S SPOT JUICE BAR & CAFE,Brooklyn,"486 BAY RIDGE AVE, 11220","Juice, Smoothies, Fruit Salads",5/6/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,7,A,5/6/19,Cycle Inspection / Re-inspection,
50051998,HUA XIA RESTAURANT,Manhattan,"49 DIVISION ST, 10002",Chinese,4/18/17,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,35,C,,Cycle Inspection / Initial Inspection,
50089926,THE BRESLIN,Manhattan,"16 W 29TH ST, 10001",American,8/14/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,8/14/19,Pre-permit (Operational) / Re-inspection,
41377952,DARBAR GRILL,Manhattan,"157 EAST   55 STREET, 10022",Indian,7/20/17,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,34,C,,Cycle Inspection / Initial Inspection,
41416119,TASTY'S DINER,Queens,"3304 DITMARS BOULEVARD, 11105",American,5/28/19,04M,Live roaches present in facility's food and/or non-food areas.,Y,12,A,5/28/19,Cycle Inspection / Re-inspection,
50078722,MCDONALD'S,Brooklyn,"82 COURT ST, 11201",Hamburgers,5/30/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,5/30/19,Cycle Inspection / Initial Inspection,
50032584,YAN KEE BEEF JERKY,Manhattan,"44 CANAL ST, 10002",Asian,11/12/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,11/12/19,Cycle Inspection / Initial Inspection,
50049097,KUMO JAPANESE CUISINE,Brooklyn,"1406 CORTELYOU RD, 11226",Japanese,6/1/19,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,16,B,,Cycle Inspection / Initial Inspection,
